Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2022,55 400,Automatic,Great Price,R 649 990
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,2023,48 863,Automatic,Fair Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE300d 4Matic AMG Line,2022,47 500,Automatic,Great Price,R 1 079 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,2022,79 000,Automatic,Great Price,R 1 059 900
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,Great Price,
Mercedes-Benz,,,,,,Great Price,
Mercedes-Benz,Mercedes-Benz C-Class,C200 Edition 6,2022,17 600,Automatic,Fair Price,R 769 950
Mercedes-Benz,Mercedes-Benz A-Class,A250 Hatch AMG Line,2019,113 000,Automatic,Fair Price,R 399 950
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,2023,9 500,Automatic,Great Price,R 1 049 800
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,2025,7 600,Automatic,Great Price,R 799 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2024,12 000,Automatic,Great Price,R 749 800
Mercedes-Benz,Mercedes-Benz V-Class,V250d Avantgarde,2018,113 000,Automatic,Great Price,R 789 900
Mercedes-Benz,Mercedes-Benz GLS,GLS400d 4Matic AMG Line,2020,94 000,Automatic,No Rating,R 1 099 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200 AMG Line Auto,2019,77 000,Automatic,Great Price,R 359 900
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2023,43 900,Automatic,Great Price,R 669 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,16 000,Automatic,Great Price,R 1 499 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive,2026,2 500,Automatic,Great Price,R 2 269 900
Mercedes-Benz,ined,,unde,,,,
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2025,14 500,Automatic,Great Price,R 809 000
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,32 000,Automatic,Great Price,R 1 349 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,2023,64 000,Automatic,Great Price,R 539 995
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,2025,17 000,Automatic,Great Price,R 1 989 900
Mercedes-Benz,Mercedes-Benz E-Class,E350d Avantgarde,2016,74 000,Automatic,No Rating,R 389 900
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive AMG Line,2023,50 000,Automatic,Fair Price,R 1 649 900
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Mixto Pro Crewcab Auto,2025,24 000,Automatic,No Rating,R 999 950
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,2023,72 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2022,55 400,Automatic,Great Price,R 649 990
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,2023,48 863,Automatic,Fair Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE300d 4Matic AMG Line,2022,47 500,Automatic,Great Price,R 1 079 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,2022,79 000,Automatic,Great Price,R 1 059 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,Great Price,
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,Mercedes-Benz C-Class,C200 Edition 6,2022,17 600,Automatic,Fair Price,R 769 950
Mercedes-Benz,Mercedes-Benz A-Class,A250 Hatch AMG Line,2019,113 000,Automatic,Fair Price,R 399 950
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,2023,9 500,Automatic,Great Price,R 1 049 800
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,2025,7 600,Automatic,Great Price,R 799 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2024,12 000,Automatic,Great Price,R 749 800
Mercedes-Benz,Mercedes-Benz V-Class,V250d Avantgarde,2018,113 000,Automatic,Great Price,R 789 900
Mercedes-Benz,Mercedes-Benz GLS,GLS400d 4Matic AMG Line,2020,94 000,Automatic,No Rating,R 1 099 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200 AMG Line Auto,2019,77 000,Automatic,Great Price,R 359 900
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2023,43 900,Automatic,Great Price,R 669 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,16 000,Automatic,Great Price,R 1 499 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive,2026,2 500,Automatic,Great Price,R 2 269 900
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2025,14 500,Automatic,Great Price,R 809 000
Mercedes-Benz,ined,,unde,,,,
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,32 000,Automatic,Great Price,R 1 349 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,2023,64 000,Automatic,Great Price,R 539 995
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,2025,17 000,Automatic,Great Price,R 1 989 900
Mercedes-Benz,Mercedes-Benz E-Class,E350d Avantgarde,2016,74 000,Automatic,No Rating,R 389 900
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive AMG Line,2023,50 000,Automatic,Fair Price,R 1 649 900
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Mixto Pro Crewcab Auto,2025,24 000,Automatic,No Rating,R 999 950
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,2023,72 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2022,55 400,Automatic,Great Price,R 649 990
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,2023,48 863,Automatic,Fair Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE300d 4Matic AMG Line,2022,47 500,Automatic,Great Price,R 1 079 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,2022,79 000,Automatic,Great Price,R 1 059 900
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,Mercedes-Benz C-Class,C200 Edition 6,2022,17 600,Automatic,Fair Price,R 769 950
Mercedes-Benz,Mercedes-Benz A-Class,A250 Hatch AMG Line,2019,113 000,Automatic,Fair Price,R 399 950
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,2023,9 500,Automatic,Great Price,R 1 049 800
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,2025,7 600,Automatic,Great Price,R 799 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2024,12 000,Automatic,Great Price,R 749 800
Mercedes-Benz,Mercedes-Benz V-Class,V250d Avantgarde,2018,113 000,Automatic,Great Price,R 789 900
Mercedes-Benz,Mercedes-Benz GLS,GLS400d 4Matic AMG Line,2020,94 000,Automatic,No Rating,R 1 099 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200 AMG Line Auto,2019,77 000,Automatic,Great Price,R 359 900
Mercedes-Benz,ined,,unde,,,,
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2023,43 900,Automatic,Great Price,R 669 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,16 000,Automatic,Great Price,R 1 499 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive,2026,2 500,Automatic,Great Price,R 2 269 900
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2025,14 500,Automatic,Great Price,R 809 000
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,32 000,Automatic,Great Price,R 1 349 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,2023,64 000,Automatic,Great Price,R 539 995
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,2025,17 000,Automatic,Great Price,R 1 989 900
Mercedes-Benz,Mercedes-Benz E-Class,E350d Avantgarde,2016,74 000,Automatic,No Rating,R 389 900
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive AMG Line,2023,50 000,Automatic,Fair Price,R 1 649 900
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Mixto Pro Crewcab Auto,2025,24 000,Automatic,No Rating,R 999 950
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,2023,72 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2022,55 400,Automatic,Great Price,R 649 990
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,2023,48 863,Automatic,Fair Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE300d 4Matic AMG Line,2022,47 500,Automatic,Great Price,R 1 079 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,2022,79 000,Automatic,Great Price,R 1 059 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,Great Price,
Mercedes-Benz,Mercedes-Benz C-Class,C200 Edition 6,2022,17 600,Automatic,Fair Price,R 769 950
Mercedes-Benz,Mercedes-Benz A-Class,A250 Hatch AMG Line,2019,113 000,Automatic,Fair Price,R 399 950
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,2023,9 500,Automatic,Great Price,R 1 049 800
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,2025,7 600,Automatic,Great Price,R 799 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2024,12 000,Automatic,Great Price,R 749 800
Mercedes-Benz,Mercedes-Benz V-Class,V250d Avantgarde,2018,113 000,Automatic,Great Price,R 789 900
Mercedes-Benz,Mercedes-Benz GLS,GLS400d 4Matic AMG Line,2020,94 000,Automatic,No Rating,R 1 099 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200 AMG Line Auto,2019,77 000,Automatic,Great Price,R 359 900
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2023,43 900,Automatic,Great Price,R 669 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,16 000,Automatic,Great Price,R 1 499 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive,2026,2 500,Automatic,Great Price,R 2 269 900
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2025,14 500,Automatic,Great Price,R 809 000
Mercedes-Benz,ined,,unde,,,,
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,32 000,Automatic,Great Price,R 1 349 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,2023,64 000,Automatic,Great Price,R 539 995
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,2025,17 000,Automatic,Great Price,R 1 989 900
Mercedes-Benz,Mercedes-Benz E-Class,E350d Avantgarde,2016,74 000,Automatic,No Rating,R 389 900
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive AMG Line,2023,50 000,Automatic,Fair Price,R 1 649 900
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Mixto Pro Crewcab Auto,2025,24 000,Automatic,No Rating,R 999 950
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,2023,72 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2022,55 400,Automatic,Great Price,R 649 990
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,2023,48 863,Automatic,Fair Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE300d 4Matic AMG Line,2022,47 500,Automatic,Great Price,R 1 079 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,2022,79 000,Automatic,Great Price,R 1 059 900
Mercedes-Benz,,,,,,Great Price,
Mercedes-Benz,,,,,,Great Price,
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,Mercedes-Benz C-Class,C200 Edition 6,2022,17 600,Automatic,Fair Price,R 769 950
Mercedes-Benz,Mercedes-Benz A-Class,A250 Hatch AMG Line,2019,113 000,Automatic,Fair Price,R 399 950
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,2023,9 500,Automatic,Great Price,R 1 049 800
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,2025,7 600,Automatic,Great Price,R 799 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2024,12 000,Automatic,Great Price,R 749 800
Mercedes-Benz,Mercedes-Benz V-Class,V250d Avantgarde,2018,113 000,Automatic,Great Price,R 789 900
Mercedes-Benz,Mercedes-Benz GLS,GLS400d 4Matic AMG Line,2020,94 000,Automatic,No Rating,R 1 099 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200 AMG Line Auto,2019,77 000,Automatic,Great Price,R 359 900
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2023,43 900,Automatic,Great Price,R 669 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,16 000,Automatic,Great Price,R 1 499 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive,2026,2 500,Automatic,Great Price,R 2 269 900
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2025,14 500,Automatic,Great Price,R 809 000
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,32 000,Automatic,Great Price,R 1 349 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,2023,64 000,Automatic,Great Price,R 539 995
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,2025,17 000,Automatic,Great Price,R 1 989 900
Mercedes-Benz,ined,,unde,,,,
Mercedes-Benz,Mercedes-Benz E-Class,E350d Avantgarde,2016,74 000,Automatic,No Rating,R 389 900
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive AMG Line,2023,50 000,Automatic,Fair Price,R 1 649 900
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Mixto Pro Crewcab Auto,2025,24 000,Automatic,No Rating,R 999 950
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,2023,72 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2022,55 400,Automatic,Great Price,R 649 990
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,2023,48 863,Automatic,Fair Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE300d 4Matic AMG Line,2022,47 500,Automatic,Great Price,R 1 079 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,2022,79 000,Automatic,Great Price,R 1 059 900
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz C-Class,C200 Edition 6,2022,17 600,Automatic,Fair Price,R 769 950
Mercedes-Benz,Mercedes-Benz A-Class,A250 Hatch AMG Line,2019,113 000,Automatic,Fair Price,R 399 950
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,2023,9 500,Automatic,Great Price,R 1 049 800
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,2025,7 600,Automatic,Great Price,R 799 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2024,12 000,Automatic,Great Price,R 749 800
Mercedes-Benz,Mercedes-Benz V-Class,V250d Avantgarde,2018,113 000,Automatic,Great Price,R 789 900
Mercedes-Benz,Mercedes-Benz GLS,GLS400d 4Matic AMG Line,2020,94 000,Automatic,No Rating,R 1 099 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200 AMG Line Auto,2019,77 000,Automatic,Great Price,R 359 900
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2023,43 900,Automatic,Great Price,R 669 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,16 000,Automatic,Great Price,R 1 499 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,ined,,unde,,,,
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive,2026,2 500,Automatic,Great Price,R 2 269 900
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2025,14 500,Automatic,Great Price,R 809 000
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,32 000,Automatic,Great Price,R 1 349 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,2023,64 000,Automatic,Great Price,R 539 995
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,2025,17 000,Automatic,Great Price,R 1 989 900
Mercedes-Benz,Mercedes-Benz E-Class,E350d Avantgarde,2016,74 000,Automatic,No Rating,R 389 900
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive AMG Line,2023,50 000,Automatic,Fair Price,R 1 649 900
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Mixto Pro Crewcab Auto,2025,24 000,Automatic,No Rating,R 999 950
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,2023,72 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2022,55 400,Automatic,Great Price,R 649 990
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,2023,48 863,Automatic,Fair Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE300d 4Matic AMG Line,2022,47 500,Automatic,Great Price,R 1 079 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,2022,79 000,Automatic,Great Price,R 1 059 900
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz C-Class,C200 Edition 6,2022,17 600,Automatic,Fair Price,R 769 950
Mercedes-Benz,Mercedes-Benz A-Class,A250 Hatch AMG Line,2019,113 000,Automatic,Fair Price,R 399 950
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,2023,9 500,Automatic,Great Price,R 1 049 800
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,2025,7 600,Automatic,Great Price,R 799 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2024,12 000,Automatic,Great Price,R 749 800
Mercedes-Benz,Mercedes-Benz V-Class,V250d Avantgarde,2018,113 000,Automatic,Great Price,R 789 900
Mercedes-Benz,Mercedes-Benz GLS,GLS400d 4Matic AMG Line,2020,94 000,Automatic,No Rating,R 1 099 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200 AMG Line Auto,2019,77 000,Automatic,Great Price,R 359 900
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2023,43 900,Automatic,Great Price,R 669 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,16 000,Automatic,Great Price,R 1 499 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive,2026,2 500,Automatic,Great Price,R 2 269 900
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2025,14 500,Automatic,Great Price,R 809 000
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,32 000,Automatic,Great Price,R 1 349 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,2023,64 000,Automatic,Great Price,R 539 995
Mercedes-Benz,ined,,unde,,,,
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,2025,17 000,Automatic,Great Price,R 1 989 900
Mercedes-Benz,Mercedes-Benz E-Class,E350d Avantgarde,2016,74 000,Automatic,No Rating,R 389 900
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive AMG Line,2023,50 000,Automatic,Fair Price,R 1 649 900
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Mixto Pro Crewcab Auto,2025,24 000,Automatic,No Rating,R 999 950
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,2023,72 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2022,55 400,Automatic,Great Price,R 649 990
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,2023,48 863,Automatic,Fair Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE300d 4Matic AMG Line,2022,47 500,Automatic,Great Price,R 1 079 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,2022,79 000,Automatic,Great Price,R 1 059 900
Mercedes-Benz,,,,,,Great Price,
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,Mercedes-Benz C-Class,C200 Edition 6,2022,17 600,Automatic,Fair Price,R 769 950
Mercedes-Benz,Mercedes-Benz A-Class,A250 Hatch AMG Line,2019,113 000,Automatic,Fair Price,R 399 950
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,2023,9 500,Automatic,Great Price,R 1 049 800
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,2025,7 600,Automatic,Great Price,R 799 800
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2024,12 000,Automatic,Great Price,R 749 800
Mercedes-Benz,Mercedes-Benz V-Class,V250d Avantgarde,2018,113 000,Automatic,Great Price,R 789 900
Mercedes-Benz,Mercedes-Benz GLS,GLS400d 4Matic AMG Line,2020,94 000,Automatic,No Rating,R 1 099 800
Mercedes-Benz,ined,,unde,,,,
Mercedes-Benz,Mercedes-Benz GLA,GLA200 AMG Line Auto,2019,77 000,Automatic,Great Price,R 359 900
Mercedes-Benz,Mercedes-Benz C-Class,C200 AMG Line,2023,43 900,Automatic,Great Price,R 669 995
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,16 000,Automatic,Great Price,R 1 499 900
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive,2026,2 500,Automatic,Great Price,R 2 269 900
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,2025,14 500,Automatic,Great Price,R 809 000
Mercedes-Benz,Mercedes-Benz GLE,GLE400d Coupe 4Matic AMG Line,2022,32 000,Automatic,Great Price,R 1 349 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,2023,64 000,Automatic,Great Price,R 539 995
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,2025,17 000,Automatic,Great Price,R 1 989 900
Mercedes-Benz,Mercedes-Benz E-Class,E350d Avantgarde,2016,74 000,Automatic,No Rating,R 389 900
Mercedes-Benz,Mercedes-Benz V-Class,V300d Exclusive AMG Line,2023,50 000,Automatic,Fair Price,R 1 649 900
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Mixto Pro Crewcab Auto,2025,24 000,Automatic,No Rating,R 999 950
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,2023,72 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch AMG Line,2026,9 500,Automatic,Great Price,R 679 900
Mercedes-Benz,Mercedes-Benz GLC,220d 4Matic,2022,33 500,Automatic,Great Price,R 698 500
